,Closest City name,Closest Country code,Latitude,Longitude,Temperature,Wind speed,Humidity,Cloudiness
0,oktyabrskoye,ru,56.73,85.44,10.99,5.23,68.0,36.0
1,calvinia,za,-31.47,19.78,3.59,1.08,78.0,0.0
2,meulaboh,id,4.14,96.13,28.34,2.23,100.0,12.0
3,yendi,gh,9.45,0.0,24.94,2.93,77.0,64.0
5,andapa,mg,-14.66,49.65,21.04,1.03,98.0,92.0
6,maryville,us,40.35,-94.87,14.0,3.1,37.0,90.0
7,mongu,zm,-15.27,23.14,18.44,1.33,65.0,24.0
9,anshun,cn,26.25,105.93,26.69,6.03,44.0,0.0
10,plettenberg bay,za,-34.05,23.37,14.59,3.13,96.0,0.0
11,iracoubo,gf,5.48,-53.21,24.19,2.08,94.0,80.0
12,paka,my,4.64,103.44,31.0,2.1,74.0,75.0
13,kangaatsiaq,gl,68.31,-53.46,-7.17,1.23,92.0,36.0
14,kalmunai,lk,7.42,81.82,29.34,1.88,74.0,8.0
15,daru,pg,-9.07,143.21,28.34,7.98,91.0,92.0
16,mehamn,no,71.03,27.85,-6.57,1.88,77.0,64.0
17,huntsville,ca,45.33,-79.22,-2.0,1.38,74.0,1.0
18,upernavik,gl,72.79,-56.15,-10.57,1.78,100.0,24.0
19,luderitz,na,-26.65,15.16,12.19,4.38,96.0,44.0
20,divnoye,ru,45.91,43.34,7.99,6.98,67.0,0.0
21,naze,jp,28.37,129.48,25.0,7.7,69.0,75.0
23,fort-shevchenko,kz,44.51,50.26,8.79,2.98,98.0,0.0
24,willowmore,za,-33.3,23.49,3.09,0.88,81.0,12.0
25,niquero,cu,20.04,-77.58,26.09,3.23,100.0,32.0
26,husavik,is,66.04,-17.34,2.0,3.6,93.0,90.0
27,shizunai,jp,42.33,142.37,12.44,2.78,63.0,88.0
28,san ramon,pe,-14.26,-75.65,17.49,0.33,89.0,76.0
29,esmeralda,cu,21.85,-78.12,24.0,4.1,83.0,5.0
30,platteville,us,42.73,-90.48,9.0,2.6,66.0,40.0
31,kerrville,us,30.05,-99.14,18.0,6.2,59.0,1.0
32,mandla,in,22.6,80.37,30.19,2.48,24.0,0.0
33,lugovoy,ru,59.72,65.88,-6.52,1.53,69.0,0.0
34,iqaluit,ca,63.75,-68.52,-10.0,0.63,85.0,5.0
35,aldine,us,29.93,-95.38,22.0,3.6,100.0,90.0
36,noumea,nc,-22.28,166.46,29.0,6.7,62.0,0.0
38,grand island,us,40.92,-98.34,6.0,3.83,87.0,90.0
40,serendah,my,3.36,101.61,32.0,1.5,62.0,75.0
41,saint-pierre,pm,46.77,-56.17,1.29,10.68,98.0,48.0
42,lazaro cardenas,mx,28.39,-105.62,19.0,3.1,16.0,40.0
43,cape town,za,-33.93,18.42,12.0,2.1,93.0,0.0
44,atakpame,tg,7.53,1.13,22.44,1.83,84.0,0.0
45,banda aceh,id,5.56,95.32,28.09,0.98,95.0,8.0
47,brignoles,fr,43.41,6.06,12.0,1.68,93.0,0.0
48,burgeo,ca,47.61,-57.61,1.29,8.43,95.0,76.0
49,tahta,eg,26.77,31.5,16.0,8.2,77.0,0.0
50,kamenka,ru,53.19,44.05,5.09,8.48,94.0,32.0
51,sungurlare,bg,42.77,26.78,9.0,5.7,70.0,0.0
52,rosa zarate,ec,0.33,-79.47,21.79,1.28,98.0,92.0
53,stanghelle,no,60.55,5.74,0.99,0.78,91.0,88.0
55,mitchell,us,43.71,-98.03,4.0,3.1,86.0,1.0
56,elmira,us,42.09,-76.81,4.0,1.18,59.0,1.0
57,bemidji,us,47.48,-94.89,9.0,2.1,52.0,1.0
58,saint marys,us,41.43,-78.56,9.0,3.6,42.0,1.0
59,progreso,uy,-34.68,-56.22,21.0,1.5,94.0,75.0
60,katsuura,jp,33.93,134.5,24.0,3.1,44.0,0.0
61,awka,ng,6.21,7.07,23.14,1.38,95.0,64.0
62,prince rupert,ca,54.32,-130.32,8.0,2.1,75.0,90.0
63,sarangani,ph,5.4,125.46,28.79,2.33,98.0,0.0
64,vanavara,ru,60.35,102.28,7.64,4.68,73.0,92.0
66,mogadishu,so,2.04,45.34,26.84,4.33,100.0,56.0
67,nichlaul,in,27.32,83.73,27.99,1.28,32.0,0.0
68,oriximina,br,-1.77,-55.87,23.44,1.08,98.0,24.0
69,chicama,pe,-7.84,-79.15,20.0,3.1,88.0,75.0
70,tambovka,ru,47.32,47.38,7.34,6.58,67.0,20.0
71,mangalia,ro,43.8,28.58,12.0,5.7,71.0,0.0
73,mundra,in,22.84,69.73,25.99,4.78,72.0,0.0
74,valley city,us,46.92,-98.0,7.0,5.1,81.0,1.0
75,provideniya,ru,64.42,-173.23,-4.92,10.23,100.0,0.0
76,saskylakh,ru,71.97,114.09,-5.02,9.58,91.0,80.0
77,sovetskaya,ru,44.78,41.17,6.39,4.73,84.0,0.0
78,totness,sr,5.88,-56.32,24.19,1.93,100.0,92.0
79,atherton,au,-17.27,145.48,30.0,8.7,48.0,20.0
80,albert lea,us,43.65,-93.37,7.0,2.68,68.0,1.0
81,nortelandia,br,-14.45,-56.8,21.59,1.33,85.0,8.0
82,altoona,us,40.52,-78.39,9.0,2.1,34.0,1.0
83,soe,id,-9.86,124.28,28.99,2.38,52.0,0.0
84,khatanga,ru,71.98,102.47,-9.67,6.73,93.0,68.0
85,abha,sa,18.22,42.5,18.0,6.2,63.0,20.0
86,tomigusuku,jp,26.18,127.67,22.0,5.7,88.0,75.0
87,mokhsogollokh,ru,61.4,128.95,3.94,2.88,54.0,0.0
89,gap,fr,44.56,6.08,6.09,2.13,74.0,0.0
90,littleton,us,39.61,-105.02,4.0,1.63,86.0,90.0
91,kalabo,zm,-15.0,22.67,16.89,1.48,66.0,0.0
92,tumpat,my,6.2,102.17,31.0,2.6,66.0,75.0
93,egvekinot,ru,66.32,-179.17,-4.22,1.48,81.0,0.0
94,gari,ru,59.43,62.35,-2.17,1.98,50.0,68.0
95,hailey,us,43.52,-114.32,13.0,4.1,30.0,5.0
96,alofi,nu,-19.06,-169.92,27.69,4.38,100.0,68.0
98,kurchum,kz,48.57,83.65,10.49,3.83,74.0,0.0
99,pasni,pk,25.26,63.48,25.74,2.68,90.0,0.0
100,arraial do cabo,br,-22.97,-42.02,22.99,5.48,90.0,88.0
101,jinxiang,cn,35.07,116.31,22.49,2.13,98.0,80.0
102,nicolae balcescu,ro,46.47,26.92,11.0,0.5,71.0,0.0
103,celestun,mx,20.87,-90.4,27.94,9.13,88.0,0.0
104,surami,ge,42.02,43.56,2.04,1.73,91.0,36.0
105,lethem,gy,3.38,-59.8,21.04,1.68,97.0,8.0
106,kalnibolotskaya,ru,46.01,40.45,8.84,7.58,65.0,48.0
107,neiafu,to,-18.65,-173.98,29.0,2.6,79.0,40.0
108,xunchang,cn,28.45,104.71,18.84,1.48,98.0,92.0
109,luang prabang,la,19.89,102.14,29.0,1.0,66.0,0.0
110,thinadhoo,mv,0.53,72.93,29.49,5.43,100.0,36.0
111,el tocuyo,ve,9.79,-69.8,18.74,0.23,93.0,8.0
112,sirsa,in,29.54,75.04,24.69,2.03,32.0,0.0
113,buchanan,lr,5.88,-10.05,25.0,1.23,94.0,20.0
114,san jacinto,co,9.83,-75.12,26.39,0.53,89.0,64.0
115,huanren,cn,41.26,125.37,11.94,1.33,94.0,92.0
116,tecolutla,mx,17.31,-98.74,18.54,0.83,79.0,0.0
117,birao,cf,10.3,22.78,19.79,1.63,45.0,0.0
118,aklavik,ca,68.22,-135.01,-16.0,3.1,49.0,5.0
119,saint-francois,gp,16.25,-61.27,24.0,1.0,78.0,75.0
120,chincha alta,pe,-13.42,-76.13,21.0,2.1,77.0,0.0
122,lavrentiya,ru,65.58,-170.99,-5.12,11.53,100.0,0.0
123,rundu,na,-17.91,19.77,14.09,1.23,61.0,0.0
124,dire dawa,et,9.59,41.86,14.99,1.83,96.0,0.0
125,igarka,ru,67.47,86.57,-14.07,5.88,94.0,32.0
