CASE ID,SOURCE,DEPARTMENT,WORK GROUP,REQUEST TYPE,CATEGORY,TYPE,DETAIL,CREATION DATE,CREATION TIME,CREATION MONTH,CREATION YEAR,STATUS,EXCEEDED EST TIMEFRAME,CLOSED DATE,CLOSED MONTH,CLOSED YEAR,DAYS TO CLOSE,STREET ADDRESS,ADDRESS WITH GEOCODE,ZIP CODE,NEIGHBORHOOD,COUNTY,COUNCIL DISTRICT,POLICE DISTRICT,PARCEL ID NO,LATITUDE,LONGITUDE,CASE URL,30-60-90 Days Open Window
2014123049,SYS,NHS,NHS-Neighborhood Preservation-,Property Violations,Property / Buildings / Construction,Property Maintenance,Main Structure,9/23/14,10:23 AM,9,2014,RESOL,Y,6/25/18,6,2018,"1,371",4717 NE 45TH TER,"4717 NE 45TH TER
64117
(39.175993, -94.523942)",64117,Winnwood,Clay,1,Shoal Creek,76031,39.175993,-94.523942,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2014123049,
2016002855,PHONE,NHS,NHS-Dangerous Buildings-,Prop/Build/Construct-Dangerous Building-On list,Property / Buildings / Construction,Dangerous Building,Standard,1/11/16,8:42 AM,1,2016,RESOL,Y,2/9/18,2,2018,760,5435 E 28TH TER,"5435 E 28TH TER
64128
(39.072903, -94.518698)",64128,South Blue Valley,Jackson,3,East,21655,39.072903,-94.518698,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2016002855,
2015094706,WEB,NHS,NHS-Neighborhood Preservation-,Property Violations,Property / Buildings / Construction,Property Maintenance,Main Structure,8/8/15,6:54 AM,8,2015,RESOL,Y,5/3/18,5,2018,999,7001 E 16TH TER,"7001 E 16TH TER
64126
(39.091047, -94.500874)",64126,East Blue Valley,Jackson,3,East,7330,39.091047,-94.500874,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2015094706,
2010071747,PHONE,NHS,NHS-Solid Waste-,Trash Recycling Missed by Contractor,Trash,Recycle,Contractor,2/23/10,7:39 AM,2,2010,RESOL,N,2/23/10,2,2010,0,13001 E 59TH TER,"13001 E 59TH TER
64133
(39.013549, -94.428135)",64133,Blue Vue Hills,Jackson,5,East,64380,39.013549,-94.428135,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2010071747,
2014080650,PHONE,NHS,NHS-Neighborhood Preservation-,Property Violations,Property / Buildings / Construction,Property Maintenance,Main Structure,6/24/14,12:11 PM,6,2014,RESOL,Y,6/27/18,6,2018,"1,464",3002 LISTER AVE,"3002 LISTER AVE
64128
(39.070634, -94.528934)",64128,Knoches Park,Jackson,3,East,22793,39.070634,-94.528934,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2014080650,
2017017888,PHONE,NHS,NHS-Neighborhood Preservation-,Property Violations,Property / Buildings / Construction,Property Maintenance,Other Property Issue,2/16/17,7:30 AM,2,2017,RESOL,Y,6/7/18,6,2018,476,2508 E 69TH ST,"2508 E 69TH ST
64132
(39.001971, -94.557283)",64132,Blenheim Square Research Hospital,Jackson,5,Metro,113882,39.001971,-94.557283,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017017888,
2016123146,PHONE,City Planning and Development,City Planning and Development-Dev Comp-Zoning,Prop/Build/Construct - Land Use / Zoning - Miscellaneous Zoning,Property / Buildings / Construction,Land Use / Zoning Issue,Miscellaneous Zoning,10/3/16,4:10 PM,10,2016,RESOL,N,7/25/18,7,2018,660,7230 WORNALL RD,"7230 WORNALL RD
64114
(38.9965, -94.594358)",64114,Ward Parkway,Jackson,6,Metro,110649,38.9965,-94.594358,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2016123146,
2016133215,WEB,NHS,NHS-Neighborhood Preservation-,Property Violations,Vehicles / Parking,Disabled/Unlicensed on Private Property,Other Private Property,10/25/16,9:04 PM,10,2016,RESOL,Y,5/3/18,5,2018,555,1600 BRISTOL AVE,"1600 BRISTOL AVE
64126
(39.092275, -94.500291)",64126,East Blue Valley,Jackson,3,East,7290,39.092275,-94.500291,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2016133215,
2017009064,EMAIL,NHS,NHS-Neighborhood Preservation-,Property Violations,Vehicles / Parking,Parked on Unapproved Surface,Car Private Property,1/24/17,1:20 PM,1,2017,RESOL,Y,5/3/18,5,2018,464,12206 E 59TH ST,"12206 E 59TH ST
64133
(39.014959, -94.437536)",64133,Fairway Hills,Jackson,5,East,63692,39.014959,-94.437536,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017009064,
2017050003,PHONE,NHS,NHS-Neighborhood Preservation-,Property Violations,Property / Buildings / Construction,Property Maintenance,Other Property Issue,5/2/17,9:26 AM,5,2017,OPEN,Y,,,,,6835 BELLEFONTAINE AVE,"6835 BELLEFONTAINE AVE
64132
(39.001986, -94.550542)",64132,Self Help Neighborhood Council,Jackson,5,Metro,2770,39.001986,-94.550542,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017050003,90
